,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
0,1572522660,9086.38,9095.43,9086.38,9095.43,59.02,536543.06,force_direct,
1,1572522720,9099.88,9101.99,9086.38,9086.38,82.63,751632.45,force_direct,
2,1572522780,9093.81,9102.19,9091.54,9099.88,39.01,354870.43,force_direct,
3,1572522840,9101.31,9101.99,9090.0,9093.81,21.46,195164.51,force_direct,
4,1572522900,9108.95,9111.85,9099.74,9101.31,27.63,251598.73,force_direct,
5,1572522960,9109.9,9111.04,9105.0,9108.95,19.43,176927.16,force_direct,
6,1572523020,9102.46,9112.06,9100.78,9109.9,20.16,183587.88,force_direct,
7,1572523080,9103.0,9107.45,9099.76,9102.46,21.11,192155.13,force_direct,
8,1572523140,9109.53,9109.53,9101.81,9103.0,16.63,151393.83,force_direct,
9,1572523200,9126.05,9126.94,9108.42,9109.53,53.03,483499.43,force_direct,
10,1572523260,9139.41,9144.95,9124.95,9126.05,81.38,743330.7,force_direct,
11,1572523320,9133.95,9145.0,9131.44,9139.41,52.63,481086.79,force_direct,
12,1572523380,9160.0,9166.5,9133.95,9133.95,213.98,1959145.49,force_direct,
13,1572523440,9179.67,9189.99,9155.0,9160.0,179.57,1647073.97,force_direct,
14,1572523500,9196.44,9200.0,9175.39,9179.67,133.5,1226602.82,force_direct,
15,1572523560,9262.67,9299.0,9195.14,9196.44,728.6,6733153.74,force_direct,
16,1572523620,9277.83,9296.05,9262.67,9262.67,338.4,3140722.67,force_direct,
17,1572523680,9269.01,9290.26,9261.2,9277.83,187.92,1744025.45,force_direct,
18,1572523740,9248.66,9280.01,9246.84,9269.01,155.09,1436327.28,force_direct,
19,1572523800,9275.1,9275.17,9242.59,9248.66,91.76,849719.19,force_direct,
20,1572523860,9293.53,9299.03,9275.0,9275.1,248.75,2310852.33,force_direct,
21,1572523920,9304.49,9314.82,9281.86,9293.53,315.91,2937794.09,force_direct,
22,1572523980,9349.59,9372.0,9300.0,9304.49,384.78,3591313.17,force_direct,
23,1572524040,9381.84,9405.0,9342.27,9349.59,552.59,5187778.92,force_direct,
24,1572524100,9348.59,9385.0,9340.61,9381.84,239.82,2243243.34,force_direct,
25,1572524160,9309.42,9350.0,9305.87,9348.59,235.64,2198593.7,force_direct,
26,1572524220,9335.25,9346.99,9309.42,9309.42,182.88,1707045.05,force_direct,
27,1572524280,9316.84,9343.99,9315.0,9335.25,71.15,663519.82,force_direct,
28,1572524340,9322.0,9340.0,9315.0,9316.84,92.24,860377.2,force_direct,
29,1572524400,9299.77,9322.63,9293.89,9322.0,105.0,977547.33,force_direct,
30,1572524460,9301.15,9312.47,9297.5,9299.77,137.76,1281727.56,force_direct,
31,1572524520,9321.46,9330.0,9296.6,9301.15,132.85,1237784.52,force_direct,
32,1572524580,9341.46,9341.85,9318.17,9321.46,100.79,940431.11,force_direct,
33,1572524640,9324.93,9348.3,9323.85,9341.46,106.82,997502.61,force_direct,
34,1572524700,9310.0,9324.93,9302.41,9324.93,81.13,755552.99,force_direct,
35,1572524760,9302.45,9318.84,9302.45,9310.0,55.15,513464.97,force_direct,
36,1572524820,9310.25,9318.21,9300.42,9302.45,48.22,448860.9,force_direct,
37,1572524880,9324.59,9325.8,9306.1,9310.25,138.92,1294930.66,force_direct,
38,1572524940,9331.44,9336.72,9320.0,9324.59,82.02,764951.1,force_direct,
39,1572525000,9307.43,9332.07,9306.26,9331.44,57.99,540725.76,force_direct,
40,1572525060,9305.45,9313.17,9300.0,9307.43,61.93,576366.9,force_direct,
41,1572525120,9297.73,9309.37,9262.63,9305.45,79.65,740217.04,force_direct,
42,1572525180,9299.9,9301.59,9293.43,9297.73,33.95,315688.46,force_direct,
43,1572525240,9285.84,9299.97,9280.03,9299.9,52.36,486484.89,force_direct,
44,1572525300,9263.96,9289.89,9261.9,9285.84,109.33,1014086.78,force_direct,
45,1572525360,9273.76,9280.0,9258.02,9263.96,66.52,616796.24,force_direct,
46,1572525420,9277.01,9282.29,9270.29,9273.76,47.99,445161.65,force_direct,
47,1572525480,9287.16,9293.46,9271.0,9277.01,54.4,504906.29,force_direct,
48,1572525540,9285.96,9295.78,9275.82,9287.16,71.95,668054.0,force_direct,
49,1572525600,9288.68,9292.0,9280.0,9285.96,24.35,226063.97,force_direct,
50,1572525660,9294.55,9304.61,9286.65,9288.68,62.16,577882.46,force_direct,
51,1572525720,9314.92,9315.0,9294.04,9294.55,68.77,640145.56,force_direct,
52,1572525780,9303.92,9314.92,9301.95,9314.92,44.2,411369.35,force_direct,
53,1572525840,9303.51,9306.91,9297.85,9303.92,22.82,212282.91,force_direct,
54,1572525900,9315.0,9319.95,9303.51,9303.51,36.71,341925.58,force_direct,
55,1572525960,9295.78,9315.0,9291.24,9315.0,97.46,906470.7,force_direct,
56,1572526020,9282.32,9295.78,9281.48,9295.78,36.7,340828.22,force_direct,
57,1572526080,9287.1,9291.65,9277.81,9282.32,47.39,439924.17,force_direct,
58,1572526140,9281.66,9287.36,9278.01,9287.1,19.59,181842.54,force_direct,
59,1572526200,9281.29,9285.0,9280.04,9281.66,19.48,180856.16,force_direct,
60,1572526260,9273.01,9283.0,9273.0,9281.29,32.09,297728.26,force_direct,
61,1572526320,9278.96,9281.29,9268.3,9273.01,62.58,580316.66,force_direct,
62,1572526380,9291.5,9298.15,9278.83,9278.96,82.77,769146.87,force_direct,
63,1572526440,9304.11,9307.64,9291.5,9291.5,58.46,543739.3,force_direct,
64,1572526500,9310.74,9312.65,9300.0,9304.11,47.9,445708.55,force_direct,
65,1572526560,9313.27,9318.73,9309.05,9310.74,45.9,427546.3,force_direct,
66,1572526620,9296.22,9314.5,9291.96,9313.27,71.1,661279.99,force_direct,
67,1572526680,9295.21,9309.86,9285.7,9296.22,50.51,469592.76,force_direct,
68,1572526740,9303.88,9310.0,9294.19,9295.21,51.37,477890.95,force_direct,
69,1572526800,9320.0,9320.0,9303.88,9303.88,68.2,635260.47,force_direct,
70,1572526860,9315.9,9329.0,9315.83,9320.0,108.43,1011137.21,force_direct,
71,1572526920,9308.83,9317.76,9300.8,9315.9,49.91,464704.01,force_direct,
72,1572526980,9318.14,9324.48,9305.74,9308.83,42.52,396098.8,force_direct,
73,1572527040,9323.08,9324.86,9317.25,9318.14,24.8,231179.35,force_direct,
74,1572527100,9315.31,9330.0,9315.25,9323.08,66.9,623762.41,force_direct,
75,1572527160,9300.0,9316.96,9300.0,9315.31,47.29,440071.2,force_direct,
76,1572527220,9291.62,9302.14,9286.65,9300.0,64.22,597008.68,force_direct,
77,1572527280,9294.09,9299.0,9289.1,9291.62,25.04,232711.03,force_direct,
78,1572527340,9285.37,9296.34,9285.37,9294.09,18.16,168748.34,force_direct,
79,1572527400,9295.38,9300.0,9284.76,9285.37,77.43,719338.53,force_direct,
80,1572527460,9289.5,9303.01,9288.48,9295.38,70.3,653605.2,force_direct,
81,1572527520,9286.46,9290.59,9285.29,9289.5,29.82,277013.75,force_direct,
82,1572527580,9278.53,9289.07,9276.04,9286.46,34.64,321499.84,force_direct,
83,1572527640,9273.1,9279.95,9270.33,9278.53,45.56,422595.4,force_direct,
84,1572527700,9279.22,9281.0,9271.56,9273.1,32.66,303070.4,force_direct,
85,1572527760,9281.76,9284.57,9277.18,9279.22,20.42,189548.66,force_direct,
86,1572527820,9281.53,9284.21,9280.38,9281.76,32.89,305290.7,force_direct,
87,1572527880,9286.97,9289.94,9281.31,9281.53,90.71,842133.84,force_direct,
88,1572527940,9288.12,9290.0,9283.2,9286.97,24.51,227633.85,force_direct,
89,1572528000,9281.58,9289.9,9281.58,9288.12,15.72,145984.71,force_direct,
90,1572528060,9275.96,9283.59,9274.67,9281.58,50.55,469105.75,force_direct,
91,1572528120,9284.0,9287.96,9267.05,9275.96,50.24,465888.17,force_direct,
92,1572528180,9292.91,9292.91,9277.49,9284.0,32.86,305146.23,force_direct,
