,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
0,1572254580,9400.9,9401.38,9397.98,9398.8,20.75,195070.21,force_direct,
1,1572254640,9413.97,9414.0,9400.87,9400.9,50.02,470596.39,force_direct,
2,1572254700,9406.27,9420.0,9403.5,9413.97,51.48,484680.81,force_direct,
3,1572254760,9392.88,9406.55,9390.31,9406.27,48.18,452783.31,force_direct,
4,1572254820,9394.97,9400.0,9390.0,9392.88,46.0,432055.66,force_direct,
5,1572254880,9385.33,9395.97,9381.6,9394.97,51.91,487428.45,force_direct,
6,1572254940,9380.58,9385.36,9377.81,9385.33,21.77,204237.38,force_direct,
7,1572255000,9391.45,9398.29,9380.04,9380.58,29.18,274025.41,force_direct,
8,1572255060,9406.51,9409.84,9391.45,9391.45,34.2,321614.42,force_direct,
9,1572255120,9400.23,9407.77,9400.01,9406.51,22.34,210113.33,force_direct,
10,1572255180,9393.54,9402.46,9392.29,9400.23,26.24,246626.78,force_direct,
11,1572255240,9385.15,9394.95,9380.75,9393.54,33.66,315979.69,force_direct,
12,1572255300,9385.21,9387.96,9378.38,9385.15,28.74,269614.66,force_direct,
13,1572255360,9386.49,9389.51,9381.51,9385.21,15.3,143626.76,force_direct,
14,1572255420,9367.85,9387.19,9366.14,9386.49,47.46,444940.17,force_direct,
15,1572255480,9359.17,9375.79,9352.49,9367.85,60.84,569543.42,force_direct,
16,1572255540,9355.54,9366.61,9352.43,9359.17,46.25,432881.43,force_direct,
17,1572255600,9357.26,9360.84,9350.57,9355.54,42.1,393808.11,force_direct,
18,1572255660,9365.58,9369.7,9357.15,9357.26,25.45,238288.79,force_direct,
19,1572255720,9366.29,9369.56,9360.51,9365.58,23.74,222306.19,force_direct,
20,1572255780,9356.26,9367.07,9353.0,9366.29,18.57,173803.47,force_direct,
21,1572255840,9350.4,9359.69,9350.0,9356.26,39.61,370487.41,force_direct,
22,1572255900,9363.83,9365.34,9350.4,9350.4,17.69,165572.68,force_direct,
23,1572255960,9371.33,9379.88,9361.87,9363.83,30.03,281338.12,force_direct,
24,1572256020,9385.72,9390.0,9371.33,9371.33,88.3,828475.8,force_direct,
25,1572256080,9393.32,9399.2,9384.83,9385.72,25.92,243517.78,force_direct,
26,1572256140,9390.28,9394.74,9385.11,9393.32,26.37,247545.04,force_direct,
27,1572256200,9388.98,9400.56,9385.2,9390.28,46.79,439644.35,force_direct,
28,1572256260,9385.35,9394.0,9379.11,9388.98,29.01,272307.37,force_direct,
29,1572256320,9393.65,9394.0,9379.14,9385.35,17.86,167575.39,force_direct,
30,1572256380,9388.95,9395.53,9386.96,9393.65,23.82,223740.63,force_direct,
31,1572256440,9384.19,9393.33,9378.82,9388.95,35.48,332983.48,force_direct,
32,1572256500,9373.03,9384.19,9371.34,9384.19,17.36,162831.03,force_direct,
33,1572256560,9389.03,9389.99,9371.74,9373.03,22.69,212857.27,force_direct,
34,1572256620,9392.6,9396.0,9387.06,9389.03,19.37,181952.69,force_direct,
35,1572256680,9398.11,9399.0,9391.81,9392.6,23.42,220121.38,force_direct,
36,1572256740,9398.43,9402.0,9395.34,9398.11,30.27,284518.82,force_direct,
37,1572256800,9409.7,9409.7,9397.75,9398.43,30.1,283042.03,force_direct,
38,1572256860,9400.0,9412.92,9400.0,9409.7,63.36,595994.52,force_direct,
39,1572256920,9391.05,9400.01,9390.0,9400.0,28.13,264288.62,force_direct,
40,1572256980,9395.49,9395.89,9386.97,9391.05,20.39,191488.97,force_direct,
41,1572257040,9392.33,9396.79,9385.28,9395.49,13.54,127137.85,force_direct,
